,id,host_id,zipcode,accommodates,bathrooms,bedrooms,beds,minimum_nights,availability_30,number_of_reviews,review_scores_rating,host_listing_count,Apartment,Bed & Breakfast,Boat,Castle,Dorm,House,Hut,Loft,Other,Tent,Treehouse,Entire home/apt,Private room,Shared room,Airbed,Couch,Futon,Pull-out Sofa,Real Bed,price,price_log
17,1781041,9348914,10040,-0.5195404859068907,-0.3370343067877555,-0.41170092407648967,-0.5068550097086097,-0.6188138558658658,1.096567719327034,-0.456018997445738,95-100,-0.38286826759845854,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,125.0,4.8283137373023015
18,4060165,1860033,10033,-1.0673319438590205,-0.3370343067877555,-0.41170092407648967,-0.5068550097086097,1.758647962250419,1.096567719327034,-0.25901175457621956,70-79,0.5436210842425065,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,35.0,3.5553480614894135
19,4323940,4344968,11238,0.5760424299973689,-0.3370343067877555,-0.41170092407648967,0.38159161324243157,-0.6188138558658658,-0.1830721443416608,-0.5052708081631176,80-84,-0.38286826759845854,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,165.0,5.10594547390058
20,1832976,724988,10038,-0.5195404859068907,-0.3370343067877555,-0.41170092407648967,-0.5068550097086097,-0.22257021951315167,-1.3027570250517688,0.9230317026408912,90-94,0.08037640832202401,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,100.0,4.605170185988092
21,4218098,21892444,10027,-0.5195404859068907,-0.3370343067877555,-0.41170092407648967,-0.5068550097086097,-0.22257021951315167,-0.8228920761760082,-0.456018997445738,95-100,-0.38286826759845854,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,110.0,4.700480365792417
22,4053471,3967335,11222,-1.0673319438590205,-0.3370343067877555,-0.41170092407648967,-0.5068550097086097,-0.6188138558658658,-1.2227795335724754,-0.35751537601097877,95-100,0.08037640832202401,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,65.0,4.174387269895637
23,4831993,24873252,11206,-0.5195404859068907,2.3140196115930816,-0.41170092407648967,-0.5068550097086097,-0.6188138558658658,-1.142802042093182,-0.5545226188804973,No Reviews,-0.38286826759845854,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,200.0,5.298317366548036
24,2596813,13298061,10025,-0.5195404859068907,-0.3370343067877555,-0.41170092407648967,-0.5068550097086097,-0.22257021951315167,-0.34302712730024765,-0.012752700989321495,95-100,-0.38286826759845854,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,150.0,5.0106352940962555
25,4810267,9374970,10013,0.028250972045239065,2.3140196115930816,-0.41170092407648967,-0.5068550097086097,-0.6188138558658658,-1.142802042093182,-0.5545226188804973,No Reviews,-0.38286826759845854,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,300.0,5.703782474656201
26,312664,5926,10030,3.8627911777101476,-0.3370343067877555,2.8819064685354276,3.0469314820955553,-0.6188138558658658,-1.0628245506138885,1.07078713479303,85-89,3.7863338156858846,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,255.0,5.541263545158426
